@relation data

@attribute @@class {no,yes}
@attribute document string

@data
no,'Teve uma hora e nao conseguiu a resposta Claro ela nao existe'
no,'Teve uma hora para responder e nao achou nada Claro  nao existe ditadura eficiente'
no,'MELHOR DITADURA MILITAR  DO QUE DITADURA DE ESQUERDA'
no,'kkkkk aqui so tem ze mane que ta na guerra fria ate hoje'
no,'A historia nos ensina A se precaver do futuro A prova A Venezuela ainda estao fazendo vitimas para impor a ideologia genocida'
no,'Apos quatro horas nao conseguiram encontrar um exemplo sequer de ditadura em paises desenvolvidos porque sera'
no,'realmente  mais o brasil  tem que muda essa situacao  se nao   nunca saira desse  mar de lama  '
no,'Marcos no Brasil nao houve ditadura militar houve governo militar pois entre as varias medidas para reerguer o pais e o povo posso te citar criacao do fgtsembrafilme embraer bnh   hidreletricas eleicoes diretas para governador e deputados Ta bom pra voce'
no,'A China possui uma ditadura e e uma das maiores economias do mundo Marcos'
no,'O Brasil tambem e uma das maiores economias do mundo e nem por isto e desenvolvido'
yes,'enfia o kit no teu cut'
no,'globo e sergio moro fizeram boca de urna nessas eleicoes'
no,'voces acham mesmo que alguem votara na direita depois da PEC  jogar o Brasil em grupo da Nigeria '
no,'dl nem sei o que e melhor Nigeria ou venezeruela'
yes,'o teucuquente porem continua dando adoidado'
no,'O que esta OPOSICAO esta conseguindo e atrair para si e para os proximos e o odio dos eleitores '
no,'Ainda bem Murilo Temos de terminar a faxina e limpar o pais da esquerda lha Urgente'
no,'Sao mesmo agitadores e so o que sabem fazer ha a tempo ainda sabem tambem roubar'
no,'Concordo plenamente e so o que sabem fazer Quando tentaram governar deu no que deu'
no,'Oposicao a um governo que governa APENAS para aELITE '
no,'marcos e eu que achava que politica era  uma ferramenta de transformacao quato engano'
no,'esse partido chamado P T e esse P Sol sao uma doenca pra nossa nacao um enfermo'
yes,'Coisas de gentinha estao sempre fedendo a mortadela podre e nao tomam banho'
no,'Esse povo nao esta nem ai pro Brasil so querem ser contra'
no,'em  acabara o forro privilegiado dai quero ver ministro do STF livrar a cara deste povo'
no,'A esquerda segue a passos largos rumo a quase extincao Continuem assim'
no,'PESQUISE E PARTICIPE Consulta Publica  PEC '
no,'ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL'
no,'Continuam espalhando as mesmas mentiras de sempre'
no,'Voltaram so a fazer o que senpre fizerem Sao os defensores do povo lamentavel '
no,'quebraram o pais e ainda tentam boicotar quem quer trabalhar'
no,'BOICOTARAM um governo eleito por  anos SAO GOLPISTAS e nao querem oposicao ahahahh fazme rir'
no,'PESQUISE E PARTICIPE Consulta Publica  PEC '
no,'ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL'
no,'Esperem que esse  grupo do mal  nas proximas eleicoes vao  chegar ao fim'
no,'Rodrigo nao bagunce as ideias Uma coisa e uma coisa e outra coisa e outra coisa '
no,'Vamos lutar muito pelos nossos direitos conquistados com tantas lutas '
no,'TA animadinho porque rapaz APOSENTADORIA DESCONTADA EM  VAI PEGAR SEU VOVO TAMBEM AHAHAHAH'
yes,'Essa corrupta terrorista apresenta uma ameaca ao honesto povo Uruguaio'
no,'uma mulher que destruiu a Petrobras destruiu a economia e enriqueceu as nossas custas'
no,'Pelo menos a esquerda uruguaia Nao roubou o mojica ainda ta de fusca'
no,'Esta vendo a possibilidade de asilo politico ja que em breve recebera ordem de prisao'
no,'Isso mesmo Nao tinha pensado nisso mas e uma hipotese plausivel'
no,'Deve estar verificando a possibilidade de asilo para o Lu'
no,'O asilo e pra ela mesmo ela nao esta nem ai para excompanheiro de palanque'
no,'Mas nao vai ter um tupamaro ja foi tirado do poder ela aki nao forma'
yes,'Essa anta incompetenta  ainda esta solta'
no,'ta solta e nos ja invadimos fortaleza daqui a pouco sua novelina sai fora do ar'
yes,'Esse mortadela ja bebeu tanta cachaca q nao esta falando coisa com coisa '
yes,'Temer ta bem pra caramba ne  Trouxinha'
no,'fafa e daqueles  alunos que eram zuados na escola por isso paga de revoltadinho na internet '
no,'O Pentateuto que nome estranho acredite Sua capacidade de discernir ainda pode ser resgatada'
no,'pena qual linha esta na reportagem que devo ter pulado essa'
no,'sou obrigado sei sim so nao quero nao sou perfeito esqueco as vezes rs '
no,'Isso que esta na mao dela nessa foto por acaso e um baseado '
no,'Deve ser Ela nao iria desrespeitar o Fidel fumando um charuto no Uruguai'
no,'Se os Uruguaios for na conversa dela vai acabar de falir tambem'
no,'Ela ganhou um Oreo do  Tabare e num milenar ritual esquerdista esta oferecendo ao vento '
no,'Pena que ainda existam vermelhos espalhados no pais quer dizer no mundo'
yes,'Sabe onde esta o dedo que falta Socado na sua mae kkkkkk'
yes,'Vai ser dificil a minha ha anos esta no ceu a sua ta na zona'
yes,'Se essa coisa ficar mais uma semana  la o Uruguai entra em recessao'
no,'Ja estamos tendo este cuidado o peso vai pesar sobre o real dela'
yes,'NAO ESTAO NAO SENAO RECRUTARIAM A TUA MAE SEU VERME'
no,'To sentido que tem defensores de bandido por perto FUI'
yes,'UM ES CRO TO DESSES E VERME MESMO'
yes,'sabe o que ela tem mais que nos Ela tem mais e QSF'
no,'E foi defenestrada pelo mesmo povo que nao aceita insulto '
no,'Lamentavel mais eu garanto que em  meu voto e do Luiz Inacio Messias da Silva'
no,'E que nao volte de la Damos de presente pros uruguaios'
no,'o Brasil ta quebrado e temer esta emprestando  bilhoes ao FMI'
no,'muito bom depois de doar bilhoes de U na vizinhanca agora foi colher dividendos'
no,'Estao perdidinhos Nem anotaram a placa do caminhao que atropelou a petebada em outubro'
yes,'Foi recebida com  muito  capim e agua  fresca   '
yes,'Aproveita e deixa essa capivara por ai'
yes,'Que fique por la essa ANTA'
no,'O Uruguai mais uma vez ira receber a escoria do Brasil'
no,'aqu nao tem lugar para carne de pescoco o povo gosta so de picanha na parrilla'
no,'Comunista fazendo ato por democracia Democracia vermelha'
no,'Nao e que a veia ta segurando um cigarrinho de maconha mesmo '
no,'NAO E MACONHA    E CANABIS  SEJA MAIS ELEGANTE  NESTE CAITE'
no,'a batata dela ta assando e ja fazendo plano de fuga'
no,'Estamos exportando mortadela Essa fica de graca  '
no,'Isso nao e forca e falta de senso de ridiculo mesmo'
no,'ja e a terceira vez que comento aqui Por que sera que meus comentarios sao censurados'
no,'Porque este robozinho fica buscando o q nao deve pra censurar o q precisa ele nao elimina'
no,'Depois dessa visita o Tabare Vasquez nao ganha eleicao nem para sindico de predio'
yes,'Fica ai Janete traste inutil Destruiu o brasil vaca'
no,'Tabare Vazquez vc deveria escolher melhor suas amizades '
no,'Para nao levantar suspeita foi pedir exilio para o dono do triplex '
no,'foi lindo ver essa incompetente  cair igual Jaca madura '
no,'Reuniao de ex guerrilheiros Sabe la o que fizeram '
no,'o temer e o melhor que ta tendo ne com ele nosso pais e a sexta maior potencia do mundo ne'
yes,'Tem que cuidar para que esta bandida nao venda infirmacoes sensiveis do Brasil'
no,'Quem tem motivos pra fugir sao aqueles que aparecem constantemente nas listas da lava jato'
yes,'Seus baitola vem fazer na mao vou dar um Murro certeiro nessa tua cara feia da porrrra'
no,'Ta louca Davi To afim de fazer nada na tua mao nao'
no,'Dali ele foi pro Panama para acabar de esconder o butim'
no,'Esses atos uruguaios com a presenca dela e  importante tanto quanto o preco da banana em Monaco'
no,'OS PETRALHAS ESTAO ARRUMANDO ESCONDERIJO'
no,'Ajudou afundar o pais E nao tem vergonha na cara Acha tudo normal'
no,'La ela foi recebida por Tabare Aqui onde vai e recebida por alguns Tabareus'
no,' O grande erro foi ter entregue aquela ponta de terra no extremo sul do Brasil'
yes,'Cruz credo dessa bosta'
no,'Tabarez digame com quem andas e te direi quem es'
no,'ato pela democracia ta bom me engana que eu gosto'
yes,'Porque nao morre desgraca'
no,'Isso dai e formacao de quadrilha A defesa da democracia so risos'
yes,'Ta fazendo a cama para e para o Moluscovai que'
no,'Essa  muie nem drome nem da cuie nem brinca em fiuvicoCuidado'
no,'Depois de tanto roubar nada melhor do que passear'
no,'Ficou mal ela ser recebida pelo presidente do Uruguai Fora de padrao'
yes,'Essa terrorista nao vai presa por ter roubado e atrasado um pais Que morra logo demonio'
no,'Quando falamos a verdade nao publicam Ainda falam em liberdade de expressao'
no,'Olha ai Sergio moro ela dando vacilo kkk pega ela pow'
no,'Putskkkkkde grande relevancia e importanciakkkkkkk'
no,'Provavelmente esta planejando a rota de fuga para o pais vizinho'
yes,'morre desgracada'
no,'Sera que ela discursou por la Dizem que ela fala espanhol sem sotaque'
no,'Esse Tabare e o tipico bolivariano light se e que isso existe'
no,'Saida pela tangente ou tambem comprando casa'
no,'NAO SABIA QUE O URUGUAI GOSTAVA DE TANTA PORCARIA JUNTO'
yes,'gracas a idiota Levandowhisky'
no,'Queria ver ela indo pro Paraguai tomar outro calote kkkkkkkkkkkk'
yes,'Vagabunda'
no,'Vao sentir falta da dentadura e do pao com mortadela'
yes,'Bruno nao e Kou e assimVa tomar no seu Gu'
yes,'Ja fez programa hoje '
yes,'Vira ai que eu vou apontar o dedo no seu'
yes,'pensem numa MORTADELA maconheira chata '
no,'e vc deve ser  mais uma assistida pelo bolsa esmola '
yes,'Vc tem algum retardo ou e burrice mesmo Maria'
yes,'Essa Maria Benta provou do peba na pimenta de seu Malaquias '
yes,'maria vai lavar uma louca que voce ganha mais '
yes,'Toma vergonha na cara seu boiola maconheiro infectado'
yes,'O cara vai chupar uma piroca  vai'
no,'quanta gente raivosa que horror'
no,'Entao va para la e aproveite case com um homem de la'
yes,'Ganhou pq nordestino nao sabe votar'
no,'OBSERVO QUE ESTAO COMPARECENDO MUITO MAIS DESCONTENTES COM O GOLPE MUITO BOM'
no,'Entrou pelo voto Saiu pelo voto Cade o golpe So se for na primeira afirmacao ne'
no,'Vinicius Moraes posso te chamar de Naldo  Eh mais adequado kkkkkk'
yes,'Marcio nao sou seu irmao nao Nao tenho irmao baitola'
yes,'E so ver o numero de dislike de seu coment inutil e ver que nao tem tanta moral assimPalhaco '
yes,'Quena o Tirso esta sentindo muita falta do charuto de mertadela tadinho aceita que doi menos'
yes,'Aonde a vaca vai o boi vai atrasTa apaixonado'
yes,'Tirso tem gente que come pela boca voce certamente come por tras'
no,'Carambaachei que ela ja tinha morrido e o Tirso tambem'
no,'Democracia feito a venezuela que os petebas queriam Que tal arrumar um emprego'
no,'Roubalheira Entao governo oriundo de roubalheira e ladrao tambem Eleicoes ja'
no,'A leveza de um paralelepipedo e a honestidade de um NOVE DEDOS'
no,'Sera que o MAV consegue ler e falar paralelepipedo'
no,'Tenho total condicao de dar minha opiniao enquanto liberdade de expressao me valer Enfim '
yes,'Rosanabandida esquerdista e fedorenta'
no,'Osvaldo Miranda nao concordo Mas respeito seu comentario'
no,'rosana a sua revolta e devido a falta de mortadela '
no,'nao e ofensa e curiosidade mesmo  sabe tipo estudo dos animais '
no,'O golpe dela Rosana pra se reileita se chama bolsa familia'
no,'ele esta de escarnio estava acreditando nele ate ele falar em beleza e elegancia'
no,' Por isto ele usa o pseudonimo  de SURREAL bidu '
no,'aha ta bom vou acreditar mentirinha nao acredito nao '
no,'Collor nao e digno nem para limpar os sapatos  desta  DIVA'
no,'coitadinha quer dizer que a pobrezinha foi vitima de um golpe faz um favor e a leva pra casa'
no,'Nosso alvo e Nacional e nao municipalaonde todos se DOBRARAO'
no,'ELA DESFILARA SUA ELEGANCIA BELEZAPELAS RUAS E AVENIDAS DO BRASILNAO SE PREOCUPEM'
yes,'esse ai gosta de um charuto de mortadela no meio das pernas'
no,'Ilegitimo Foi vc que votou no Temer Eu votei Aecio Quem colocou seu presidento no poder foi vc'
no,'Joao Claudio lamento Minha resposta nao foi publicada '
no,'O  Sr  Temer foi posto la por vcs que votaram nela'
yes,'Estrategia VERMELGA ACEFALA terceirizar a culpa xingar e denegrirKKKK TCHAU QUERIDOS'
no,'Porque nao vai aos Hospitais que estao super lotados e falta de equipamentos'
yes,'Coitada e o minimo a definila      Eu a chamaria de PODRE   '
yes,'burro'
no,'nao tiro um real do orcamento geral pra destinar a presidio com tanta falta em hospital '
no,'Ela e da area juridica Hospitais sao da alcada do Ministerio da Saude simples assim'
no,'OS PRESIDIOS ESTAO OTIMOS O PROBLEMA SAO AS ESCOLAS E HOSPITAIS'
no,'ainda mais se for hospedar um politico  boa Rubens'
no,'Por que essa revolta Anderson Sua familia esta presa'
yes,'Mortadelas nunca entendem nadaKKK'
no,'Roberto o inteligente o mafioso Skaf pergunta Quem  vai pagar o pato'
no,'Quem negativa sao os presidiarios Lucasestao equipados dentro dos presidios'
yes,'Bandido tem mais e que peidar pra Muzenga mesmo Resolvam esse problema de superlotacao fazendo pelo menos  Carandiru por dia Simples '
no,'Galera do PSOL e comunistas em geral apertem o vermelho mesmo'
yes,'A policia civil do RJ por exemplo nao tem nem privada pra kaggar e essa capivara ta preocupada com bandido '
yes,'Carmen Capivara Lucia por favor me de o exemplo e leve meia duzia dessas vitimas da sociedade pra sua casa faca um coquete nele libere o anel de couro de refresco de groselha mostre que tem coracao '
no,'Ate que enfim um comentario que preste O censor da grobo cochilou'
no,'Bandido defendendo bandido Estranho esse papo'
no,'Eles tem conforto ate demais Sofrimento tem as familias que eles destruiram'
no,'So ha justica para os pobres um pais onde os ricos ficam impune'
no,'Seria mais interessante ela visitar os hospitais do sus'
no,'Se ela concluiu o ato e porque ele concordouai nao e estupro kkkkkkkkkkkkkkkk'
no,'presidio e lugar pro sujeito pagar seus pecados e nao ficar num resort de ferias'
no,'Vitimas desses bandidos ninguem visita ne uma porque  eles ja mataram '
no,'Ela poderia visitar tambem algumas escolas onde criancas estudam com os pes na lama com goteiras e muitas vezes com merenda estragada ou ate mesmo sem merenda alguns tendo que andar quilometros a pe ou dentro de caminhoes Isso eu gostaria que gente ligada  a direitos humanos tivesse a decencia de fazer mas nao eles gostam de visitar presidios e defender as pobres vitimas da sociedade As criancas de pes descalcos nao sao vitimas dessa sociedade porca'
no,'Quando sera a visita aos HOSPITAIS  PUBLICO do DF'
no,'deveria haver uma lei obrigando todos politicos a usar so hospitais publicose que todos os hospitais particulares fosse proibidos de atendelos so assim eles olhava para a situacao da saude publica que esta uma VACALHACAO '
no,'Deveria estar preocupada em acelerar julgamentos que beneficiam aos trabalhadores ao inves de se preocupar com bandidos'
no,'Porque nao vai visitar as familias das vitimas desses criminosos '
no,'e os parentes dos que foram mortos por eles'
no,'Santa hipocrisia Batman manda ela visitar hospitais publicos para ver se estao superlotados'
no,'Parabens Dra Carmen  ao menos a Sra foi la diferente de outros que nem sabe que aquilo existe  sabem que sao marginais mas nao podemos nos igualar com eles     '
no,'Nao quer ficar em uma cela superlotada Nao roube Trabalhe honestamente garanto que isso nao vai ser problema'
no,'Pouco conhecimento da leiatodos sao iguais depois de julgados e condenados exceto militares'
no,'Entao ministra mais um motivo para instalar a pena de morte'
no,'Esta visitando as novas instalacoes do Conde Dracula e seus Vampiros'
no,'sera  que  a   ministra Carmen Lucia presidente do Supremo Tribunal Federal   esta  procurando  vagas  para  os  politicos  ladroes  Bandidooooooooooooooos   no  presidios   que  esta  visitando   kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk'
no,'Essa ministra trabalha a menos de  km dos hospitais de BASE e HRAN sera que pretende visitar os'
no,'Sempre a admirei agora mais ainda      Bela atitude  '
no,'Precisavamos de mais Presidentes assim'
no,'Peco ajuda aos universitarios que me ajudem a interpretar o que o zozoi quis dizer'
no,'Ela deveria levar o Renan Calheiros junto com ele mas ele ficaria la mesmo'
no,'Por que a excelentissima ministra nao visita a familia das vitimas  '
no,'Deixa de ser ignorante Quem precisa de mudanca e o preso nao a vitima'
no,'tem que colocar pena de morte ai vai diminuir bastante'
no,'Sera que houve uma faxina para a visita da Ministra '
no,'Por que nao se reuniu com os parentes das vitimas'
no,'Trabalhar ninguem quer senao estaria vazio'
no,'Gosto delaNo STF e a unica que sabe o que diz e entende o que escuta'
no,'VAI NO CEMINTERIO ESTA MAIS LOTADO CHEIO DE INOCENTES MORTOS PELAS MAOS DESSES VERMES'
no,'Agora ela virou Ministra da Seguranca ou nao tem nada pra fazer no STF  '
no,'Tem que visitar nossas ESCOLAS e HOSPITAIS '
no,'Nao vejo  ir visitar hospitais com criancas idosos e trabalhadores nas linhas finas'
no,'vamos ver quantas maes que tiveram seus filhos assassinados por estes assaltantes a Ministra vai visitar'
no,'Ave Dra Carmen Lucia os que estao prestes a morrer lhe saudam '
no,'Os poderes estao  preocupados com bandidos  que tem de tudo que o cidadao onesto e renegado'
no,'Daqui pra frente vai piorar porque nao havendo emprego   vai aumentar os furtos e roubos '
no,'Aproveita que esta ai e ja implanta pena de morte para esses lixos  Bndido bom E bndido mrto'
no,'Uma visita aos familiares vitimados por essa escoria sera louvavel'
no,'Tenho pena so das vitimas deles Quem se comporta nao vai preso'
no,'E quando vai visitar os hospitais e tumulos das vitimas desses marginais'
no,'Superfaturamento de TV e algum Senador ou Deputado coloca um  no bolso'
no,'duvido que essa ministra peca reducao de seu salario para tres mil reais'
no,'Fazer o que por culpa suas se tivesse leis severas estavam vazios'
no,'Tinha tirar todos auxilios de familias mande suas familias trabalharem para sustentarem'
no,'Presidio superlotado  F  o  D a  SE eu quero saber e da fila  nos hospitais creche e em busca de emprego'
no,'pra mim ta vazio a ministra que vai cuidar dos politicos safados que eles protegem '
no,'Que tal  cada indulto dado um juiz leva um preso para casa'
no,'Deveria  julgar as acoes envolvendo Jose Serra Os  milhoes ninguem fala Cade a Veja'
no,'Vai querer aparecer mais que o Moro isso vai gerar uma ciumeira'
no,'eta Dra Carmem Lucia a senhora esta se saindo uma grande marqueteira'
no,'Se depender do STF Manda soltar todo mundoE com aposentadoria Ainda por cima'
no,'Deveria ser aplicada a etica de Aristoteles no sistema prisional  A justa medida'
no,'os presidios lotados e milhoes querendo entrar neles isso e um paradoxo '
no,'ESSA MULHER FAZ CADA COISA'
no,'Depois que recebeu o premio agrado da Globo ta se achando'
no,'manda matar tudo e  esvazie as celas e vire heroina nacional'
no,'O Gilmar MendesPSDB vai ficar com ciumesEla esta querendo aparecer mais que ele'
no,'Unico que compre ena no Brasil sao os pobres Seus bando de hipocritas hipocritas e hipocritas'
yes,'A corja que apoia o golpe so fala merda'
no,'Excelente a iniciativa da Ministra e Presidente Carmen Lucia Parabens'
no,'Essa velha deveria passear menos e agir mais Ate agora so conversa'
no,'Para vai Saulo mim esses presos que estao la sao os mais perigosos do brasil'
no,'Neimar pela esquerda Gabriel Jesus pelo meio e Marinho pela direita que ataque '
no,'Marinho kkkkkkk so por que jogou bem ontem e ja merece selecao'
no,'Com PaulinhaFernandinha em campo o Messi vai deitar'
no,'Pra quem nao sabe e aquele mesmo hotel que a Ana Hickimann estava'
no,'O Brasil deve vencer mas vai ser um jogo dificil'
no,'x no minino mano o Bauza vai vim todo na retranca'
no,'Enquanto isto o Senado gasta  mil na decoracao de um gabinete'
no,'SE TITE NAO SE TOCAR MESSI VAI DEITAR NO PAULINHOBRASIL X'
no,'Gastar  mil com reforma do gabinete de romero juca e sacanagem com o povo'
no,'Vai que Neymar faz um gol contra para agradar o Messy'
no,'RLX  neymar ja ta bem treinado pelo barca  so chegar e vesti o uniiforme '
no,'O PALMEIRAS VAI SER CAMPEAO  SEM MIMIMI MUNDIAL DE '
no,'O que o Carlinhos Brown ta fazendo aivai cantar as babaquices dele'
no,'o neymar faria alguma falta na selecao ou a sua ausencia seria melhor  '
no,'Parece aquelas perguntas ridiculas da globo no meio do jogo'
no,'Felipe massa ja vai se aposentar O que sera dessa selecao '
no,'Bauza retranqueiro vai botar pra cacar o neymar podem tirar print'
no,'Marinho e um jogador que desequilibra qualquer jogo'
no,'Tomara que a Argentina goleie estes frescos'
no,'O Sao Paulo ja foi rebaixado '
no,'VAMOS MASSA ATLETICANA LOTAR O MINEIRAO PARA APOIAR A ARGENTINA DE LUCAS PRATTO'
no,'VAMOS MASSA ATLETICANA LOTAR O MINEIRAO E APOIA O PRATTO'
no,'O Pratto ai lado de Messi  vai deitar e rolar em cima da nossa selecao falida'
no,'Mas ele so pipoca quando a coisa aperta sempre foi assim'
no,'Pipoca nada e um excelente zagueiro o  a  nao foi culpa dele'
no,'vamos voltar  anos atras e ver o que ele fez no  x '
no,'corinthians o melhor aluno do enem enemlibertadores enempaulista enembrasileirao enemcopa do brasil'
no,'Ele virou goleiro'
no,'quem nasceu para ser  a  jamais sera Junior Baiano '
no,'Ta jogando bem mais na selecao nao tem mais chance   Thiago Silva marquinhos Miranda sao melhores  '
no,'Jogar no PSG e decrescimo na carreira'
no,'na  boa  davi luiz  deu muito certo coma  camisa  do chelsea no  psg  nao era  pra  ele'
no,'Em compensacao de vez em quando leva '
no,'Globo iniciando o lobby para o seu retorno para a Selecao'
no,'David Luiz agora e goleiro pra ter recorde pessoal de menos vazado'
no,'E aqui toma  em um jogo so o cara e muito ruim'
no,'ele possui outro recorde tomar  gols em um jogo'
no,'Cahill ainda tem pesadelos com Emerson Sheik e Paolo Guerrero'
no,'Ele so vai igualar o record pessoal quando ficar SETE jogos sem levar gols'
no,'Joga muito'
no,'Esses fans e torcedores do CR e Real Madrid sao uma piada Raca nojenta '
no,'Melhor do mundo'
no,'Apelando nao compara com qualquer um ele joga Facil'
no,'Melhor do mundo e o Messi aceitem este fato Ronaldetes'
no,'essa modinha de rivalidade os  sao excelentes jogadores pronto'
no,'Daniel Lima Nao e rivalidade e a verdadeMessi esta acima de todos no futebol atual'
no,'e kkkkkkkkkkkkkkkkkkkkkkkkkk Pepe tbm ganhou e fez mais que CR man '
no,'na moral e ser muito louco dizer que CR e melhor que Messi por favor velho'
no,'Mano na boa Messi ja foi eleito o melhor fora de outro time Se for seguindo esse teu criterio Pele George Best Maldini Iniesta  Garrincha e muitos outros sao uns BOSTAS pois esses citados nunca foram os mesmo em outros times e algunsMaldini e Iniesta nunca chegaram a jogar por outros clubes  Pele jogou por  anos no Santos e ninguem disse nada '
no,'Mano na boaAngelim  volte pro video game rapaz O cara fala Messi ja foi eleito o melhor fora de outro time  E por acaso o Pele foi considerado melhor em outro  Ele no Cosmos ja estava no final de carreira Nao existe isso de tem que provar em outro clube Se for seguindo essa tua logica Iniesta e uma bosta segundo voce'
no,'Isaque nao se faca de tonto Chore menos sua Lionete'
no,'Mano na boa como eu sabia A Ronaldete nao tem argumentos'
no,'Mano na boa na boa mesmoManona boana boa manoManooooooooo '
no,'CR ja ganhou a Copa America Nao Julio Baptista SIM  kkkkk  to aqui so pra zuar mesmo kkkk'
no,'So uma pergunta O que seria do Real Madri e Barcelona sem os estrangeiros '
no,'Seriam grandes clubes afinal sempre tiveram jogadores nacionais que fizeram historia'
no,'So te corrigindo O que seria a Europa sem estrangeiros'
no,'Os  do Rio os  de Sao Paulo  do Rio Grande do Sul e  de Minas Gerais   grandes '
no,'pele nunca vai ser melhor q esse cara'
no,'kkkkkkkkkkkk tulio nao ele conta ate de golzinho no asfalto'
no,'Falta muito pra chegar ao maior artilheiro de todos a grande genio da area Romario'
no,'No videogame igual aos fas alienados dele kkkkkkkkkkkkkk'
no,'o cara foi foda'
no,'enquanto isso o Palmeiras continua sem mundial'
no,'Em discurso Cristiano declarou Para de me secar NETO'
no,'So o oculos dele deve da pra comprar um apartamento '
no,'Enquanto isso seu time contrata marcelo cirino por  anos e damiao por  ano e meio'
no,' gols em  jogos oficiais media de  Melhor do mundo'
no,'Deve ganhar o premio FIFA foi o melhor da temporada'
no,'Ficam um monte de mocinhas brigando por Messi e CR Virem homens'
no,'vai ter que pedir dicas pro Ze para pder jogar ate os '
no,'ROMARIOgtRONALDOgtZIDANEgtMESSIgtRONALDINHOgtCR'
no,'Vao ter que renovar o contrato do Sergio Ramos ate  tbm'
no,'Nem Messi nem Cristiano vao dormir hoje preocupados com o que vcs acham deles Tontos'
no,'Ja nao ta jogando mais nada hj em diaimagina em '
no,'Se nao ta jogando nada hoje imagina em   Vai ta no nivel do Alecgol  '
no,'QUE LINDINHO ESSE MOCO COM ESSE OCULOS'
no,'Sera que teremos tambem mais cinco anos de propaganda com o Clear men kkkkk'
no,'sai armario na mesma velocidade em que baixa a qualidade de seu futebol'
no,'Contrato de  anos Esses clubes sao loucos  anos no maximo'
no,'Real Madrid ta doido mesmo o cara nem empurrar a bola de baixo da trave consegue mais'
no,' temporadas pelo RALA e  titulos kkkkkkkkkk Messi em  anos de Barca tem  titulos'
no,' titulos sendo que uns  Trofeus Joan Gamper que e um amistoso Bela galeria'
no,'Mano na boa Ivo Holanda sao  titulos sem o Joan Gamper'
no,'Mano na boa Valdeny as coisas nao funcionam que nem no seu mundinho nao'
no,'Nao teve nenhum penaltizinho pro inutil Penaldo bater  Ahhh poxa juizao'
no,'Mano na boa quase que ele faz um hattrick Solange So faltou  penaltis'
no,'Atras so do Robinho e do Fred campeoes da Copa do Brasil '
no,'Bom jogador Daria um bom reserva para o Fernandinho no Fla'
no,'Entao vamos somar as assistencias para ver quem ganhaOs dois sao otimos mas Messi e melhor'
no,'daqui a pouco vem um falar de titulo na selecao'
no,'no momento nao esta nem entre os  melhores  mas joga facil'
no,'Piada super engracada Ja pensou em fazer um teste pro Zorra Total '
no,'Concordo  por cento'
no,'Bom jogador mais nunca jogara oq o Marcelinho Carioca jogou no todo poderoso timao chorem antis'
yes,'Lugar de mulher e na pia fogao e cama'
no,'E o CR ganhou tudo o que o Messi nao ganhou Choremmmmmmmmmmmmmmmmmmmmmmmmmmmm'
no,'Voce nem sabe o que fala mano voce nem sabe chutar uma bola ENTENDE NADA DE FUTEBOL CRFOREVER'
no,'Geraldo Gallo vamos protestar Amigo Vamos invadir aquele CT e quebrar tudo'
no,'Marias tremem pro Galo e borram pros argentinos FATO'
no,'PARE COM ESSE VEXAME GENTE DEIXA ESTE CARA DE LADO'
no,'Saudade do Otamendi Ele e Gabriel seriam uma dupla de zaga sensacional'
no,'dor de cotovelo das marias azuis borradeirasadoram a pagina do galo'
no,'Em pontos corridos nao tem apagao de refletor pra esfriar o adversario rajkazblanks '
no,'Em pontos corridos nao tem jogador adversario escorregando com o gol escancarado rajkazblanks '
no,'Em pontos corridos gritinhos de eu acredito nao colam rajkazblanks '
no,'Em pontos corridos nao tem disputa de penalty rajkazblanks '
no,'Em pontos corridos nao tem Riascos pra errar penalty aos  do segundo tempo rajkazblanks '
no,'com Anelkocando ate hj Maria Ele nao e argentino nao viu Todos sabem q as Marias se borram pros argentinos'
no,'E uma pena que Riascos nao e Argentinota marcado na historia por dois momentos marcanteskkkkk'
no,'MARIAS NOS CIO  MINHAS PRESAS PREDILETAS VOU ME ESBANJAR EM DEVORALAS'
no,'Forca na peruca Galo RACA ROBINHO RACA PRATTO RACA CAZARES Vamos jogar com amor a camisa '
no,'Concordo em partes Tem que ter sombra pro Vizeu se nao se acomoda igual ao Jorge'
no,'NAO ACHO NADA DEMAIS NESSE CUEVA SO FAZ GOL DE PENALTY'
no,'Junta todos os pontas do Fla que nao da um Cueva'
no,'o Flamengo sem motivacao nenhuma mete  x no santos'
no,'QUEREMOS UM TIME PRA GANHAR O TITULO E NAO PRA FICAR NO MEIO DA  TABELA NOVAMENTE '
no,'Ue e o cheirinho que voces estavam sentindo era de que'
no,'Vizeu e convocado frenquentemente para a selecao sub quem ia ser o centroavante CIRINO'
no,'Devia e ficar o Damiao e sair o inutil do guerrero chorao'
no,'esse ze e  muito burro cara empresario corre solto e muita grana envolvida'
no,'O   PARA  TB   SE ACOMODOU UM POUCO  PODERIA REVESAR ELE E O RODNEY '
no,'perfeito os garotos da base sao melhores que esses jogadores citados'
no,'e rogerio todos tem mais essa anta nao coloca pra jogar'
no,'o tecnico e bom o time que e ruim '
no,'Complicado e colocar o Cirino e Gabriel atacante que nao sabe chutar nao faz gol'
